count,upvotes,bucket
13,8,
1,77,-180
1,21,-120
1,157,-17
1,5,-11
1,10,-8
1,15,-7
3,18,-5
1,12,-4
5,18,-3
8,57,-2
27,21,-1
772697,15,0
59685,13,1
32184,15,2
15998,20,3
9000,24,4
5120,30,5
3253,34,6
2073,37,7
1267,43,8
884,52,9
636,46,10
465,55,11
368,75,12
264,77,13
196,59,14
133,66,15
122,89,16
86,231,17
61,103,18
55,66,19
42,140,20
31,55,21
37,144,22
24,103,23
19,71,24
17,117,25
21,79,26
20,30,27
11,23,28
10,43,29
6,55,30
3,311,31
10,43,32
5,231,33
6,60,34
2,20,35
4,8,36
4,6,37
1,6,38
9,109,39
2,20,40
1,6,41
3,10,42
1,63,43
1,834,44
1,68,45
2,21,46
2,95,47
3,12,50
1,2,51
1,165,53
1,9,54
1,7,56
1,4,61
2,10,63
1,17,64
2,573,66
3,220,68
1,12,69
1,22,82
1,4,84
1,24,86
1,6,105
1,4,116
1,11,117
1,2,173
1,2,176
1,2,199
1,4,254
1,9,506