count,wordcount
123267,0
200407,10
134243,20
87328,30
60746,40
44758,50
35255,60
28406,70
23379,80
19153,90
16362,100
14061,110
12153,120
10555,130
9151,140
7984,150
6880,160
6072,170
5444,180
4807,190
4541,200
3805,210
3610,220
3149,230
2815,240
2589,250
2336,260
2196,270
1946,280
1745,290
1637,300
1499,310
1381,320
1298,330
1178,340
1075,350
1003,360
991,370
866,380
758,390
789,400
703,410
628,420
619,430
538,440
531,450
505,460
511,470
381,480
419,490
356,500
368,510
364,520
313,530
299,540
286,550
258,560
242,570
232,580
197,590
215,600
209,610
172,620
189,630
177,640
171,650
167,660
165,670
134,680
141,690
137,700
131,710
123,720
100,730
131,740
93,750
90,760
101,770
90,780
89,790
92,800
81,810
81,820
65,830
69,840
60,850
77,860
62,870
61,880
61,890
63,900
55,910
56,920
40,930
46,940
46,950
27,960
43,970
35,980
46,990
34,1000
35,1010
31,1020
37,1030
31,1040
33,1050
31,1060
25,1070
27,1080
25,1090
32,1100
23,1110
16,1120
26,1130
18,1140
26,1150
21,1160
27,1170
20,1180
19,1190
23,1200
16,1210
16,1220
23,1230
11,1240
15,1250
16,1260
12,1270
11,1280
14,1290
13,1300
21,1310
15,1320
17,1330
14,1340
11,1350
14,1360
12,1370
7,1380
12,1390
8,1400
6,1410
9,1420
6,1430
12,1440
10,1450
13,1460
10,1470
10,1480
11,1490
5,1500
4,1510
9,1520
3,1530
4,1540
4,1550
4,1560
9,1570
6,1580
7,1590
7,1600
7,1610
3,1620
4,1630
6,1640
4,1650
6,1660
5,1670
6,1680
5,1690
7,1700
8,1710
11,1720
6,1730
2,1740
7,1750
7,1760
3,1770
3,1780
7,1790
10,1800
10,1810
5,1820
7,1830
9,1840
11,1850
8,1860
9,1870
4,1880
3,1890
9,1900
11,1910
9,1920
7,1930
9,1940
5,1950
10,1960
3,1970
7,1980
4,1990
4,2000
1,2010
4,2020
3,2030
3,2040
3,2050
4,2060
6,2070
6,2080
3,2090
6,2100
9,2110
3,2120
3,2130
2,2140
4,2150
5,2160
5,2170
7,2180
7,2190
3,2200
4,2210
3,2220
4,2230
2,2240
5,2250
1,2260
3,2270
4,2280
4,2290
4,2300
3,2310
1,2320
6,2330
2,2340
2,2350
6,2360
2,2370
1,2380
2,2390
4,2400
2,2410
2,2420
2,2430
2,2440
2,2450
2,2460
2,2470
2,2480
2,2490
2,2500
3,2510
3,2520
3,2530
1,2540
1,2560
1,2570
2,2580
1,2590
1,2620
1,2640
1,2660
1,2670
1,2680
3,2700
1,2730
1,2740
3,2760
2,2770
3,2780
2,2790
1,2800
1,2810
3,2820
1,2830
1,2840
3,2880
2,2940
1,2950
1,2980
2,2990
1,3010
1,3020
2,3040
1,3050
2,3060
1,3070
3,3080
1,3120
1,3140
1,3160
1,3170
1,3260
1,3300
1,3360
1,3370
1,3390
2,3480
1,3490
1,3520
1,3530
2,3610
2,3640
1,3680
1,3740
1,3780
1,3790
1,3860
1,3870
1,3900
1,3930
1,3940
1,4000
2,4020
1,4030
1,4170
1,4280
1,4300
1,4310
2,4330
1,4340
2,4380
2,4390
1,4400
1,4420
3,4430
1,4450
1,4470
2,4570
2,4580
1,4590
1,4620
1,4630
1,4700
1,4820
1,4900
1,5010
1,5090
1,5130
1,5180
1,5190
1,5380
1,5410
1,5470
1,5890
2,6040
1,6160
1,6170
1,6190
1,6400
1,6700
1,6930
1,6940
1,7000
1,7060
1,7210
1,7290
1,8000
1,9820
1,10000
1,10860
1,11450
1,11930
1,12000
1,12210
1,13360
1,19800
1,73260
1,78080
1,459680